gender,age,category,payment_method,total
Female,28,Clothing,Card,7502.0
Male,21,Shoes,Card,5401.53
Male,20,Clothing,Cash,300.08
Female,66,Shoes,Card,15004.25
Female,49,Cosmetics,Cash,40.66
Female,32,Clothing,Card,1200.32
Male,69,Clothing,Card,2700.7200000000003
Female,60,Clothing,Card,1200.32
Female,36,Food & Beverage,Cash,20.92
Female,29,Books,Card,15.15
Female,67,Toys,Card,573.44
Male,25,Clothing,Cash,1200.32
Male,24,Shoes,Card,15004.25
Male,65,Books,Card,60.6
Male,24,Toys,Cash,573.44
Male,23,Clothing,Card,300.08
Female,27,Food & Beverage,Cash,5.23
Male,52,Clothing,Card,1200.32
Male,44,Technology,Cash,26250.0
Female,42,Books,Cash,378.75
Male,51,Toys,Card,143.36
Female,25,Cosmetics,Card,1016.5
Male,50,Shoes,Cash,9602.72
Female,65,Shoes,Cash,5401.53
Male,29,Cosmetics,Card,365.94
Female,66,Toys,Card,322.56
Male,23,Clothing,Card,300.08
Female,32,Shoes,Card,5401.53
Male,51,Clothing,Card,4801.28
Female,66,Shoes,Card,9602.72
Male,68,Food & Beverage,Card,5.23
Male,43,Clothing,Card,7502.0
Female,59,Clothing,Card,1200.32
Male,54,Clothing,Cash,1200.32
Male,24,Clothing,Cash,300.08
Female,49,Food & Beverage,Cash,47.07
Male,67,Cosmetics,Card,162.64
Female,48,Cosmetics,Cash,365.94
Male,46,Books,Card,378.75
Female,43,Clothing,Card,4801.28
Male,18,Cosmetics,Card,365.94
Female,22,Books,Card,378.75
Female,41,Books,Cash,136.35000000000002
Female,45,Food & Beverage,Card,47.07
Female,29,Clothing,Cash,300.08
Male,43,Toys,Cash,143.36
Female,19,Clothing,Card,4801.28
Female,67,Food & Beverage,Cash,47.07
Female,36,Books,Cash,242.4
Male,64,Clothing,Card,7502.0
Female,33,Clothing,Card,300.08
Male,66,Clothing,Cash,4801.28
Female,29,Cosmetics,Card,650.56
Male,22,Toys,Cash,322.56
Female,24,Souvenir,Card,293.25
Female,24,Cosmetics,Cash,1016.5
Female,44,Technology,Card,26250.0
Male,34,Shoes,Cash,15004.25
Male,38,Food & Beverage,Cash,130.75
Male,67,Toys,Cash,322.56
Male,41,Souvenir,Card,105.57
Female,40,Clothing,Card,7502.0
Female,69,Shoes,Cash,9602.72
Female,47,Food & Beverage,Cash,130.75
Female,53,Food & Beverage,Card,83.68
Male,40,Toys,Cash,143.36
Male,60,Cosmetics,Card,650.56
Male,30,Souvenir,Cash,46.92
Female,66,Clothing,Card,1200.32
Male,22,Food & Beverage,Cash,5.23
Male,53,Food & Beverage,Cash,20.92
Female,52,Clothing,Cash,7502.0
Male,26,Shoes,Cash,15004.25
Male,66,Food & Beverage,Cash,5.23
Male,65,Clothing,Card,4801.28
Female,43,Technology,Cash,4200.0
Female,59,Toys,Card,35.84
Female,25,Cosmetics,Card,162.64
Female,29,Toys,Card,322.56
Male,62,Clothing,Card,7502.0
Male,39,Food & Beverage,Cash,47.07
Female,26,Food & Beverage,Card,83.68
Male,43,Technology,Card,9450.0
Female,40,Food & Beverage,Card,47.07
Male,55,Clothing,Card,4801.28
Female,24,Clothing,Card,7502.0
Male,24,Cosmetics,Cash,40.66
Female,30,Food & Beverage,Card,130.75
Male,34,Clothing,Card,7502.0
Female,57,Clothing,Cash,7502.0
Male,18,Cosmetics,Card,650.56
Female,26,Clothing,Cash,4801.28
Male,48,Clothing,Cash,300.08
Female,56,Souvenir,Cash,293.25
Male,35,Clothing,Cash,1200.32
Female,32,Clothing,Card,300.08
Male,27,Clothing,Card,4801.28
Female,56,Clothing,Card,1200.32
Male,35,Cosmetics,Card,650.56
Female,68,Clothing,Card,300.08
Female,64,Technology,Cash,4200.0
Male,64,Toys,Card,896.0
Female,41,Clothing,Card,2700.7200000000003
Male,30,Food & Beverage,Cash,130.75
Male,40,Clothing,Card,300.08
Female,29,Clothing,Cash,1200.32
Male,25,Clothing,Cash,2700.7200000000003
Female,60,Clothing,Cash,4801.28
Female,42,Food & Beverage,Cash,130.75
Male,54,Food & Beverage,Cash,5.23
Male,54,Clothing,Card,300.08
Female,45,Books,Cash,242.4
Female,40,Cosmetics,Card,40.66
Male,24,Books,Card,136.35000000000002
Male,40,Clothing,Cash,4801.28
Female,32,Technology,Card,4200.0
Female,28,Clothing,Cash,2700.7200000000003
Female,31,Clothing,Card,1200.32
Female,61,Food & Beverage,Card,47.07
Male,52,Shoes,Cash,15004.25
Male,44,Clothing,Card,4801.28
Female,53,Food & Beverage,Cash,47.07
Male,27,Toys,Cash,573.44
Male,54,Souvenir,Card,293.25
Male,41,Food & Beverage,Card,130.75
Female,32,Clothing,Card,300.08
Female,30,Technology,Card,9450.0
Male,22,Clothing,Card,300.08
Female,51,Clothing,Cash,4801.28
Female,23,Food & Beverage,Card,20.92
Male,40,Toys,Cash,143.36
Male,37,Clothing,Cash,7502.0
Male,22,Food & Beverage,Card,5.23
Female,61,Cosmetics,Cash,650.56
Female,25,Food & Beverage,Card,20.92
Female,66,Souvenir,Card,293.25
Male,38,Clothing,Cash,4801.28
Male,34,Toys,Card,143.36
Female,59,Souvenir,Cash,293.25
Male,23,Cosmetics,Card,650.56
Female,56,Cosmetics,Cash,650.56
Female,38,Souvenir,Card,46.92
Male,28,Clothing,Cash,2700.7200000000003
Female,26,Food & Beverage,Cash,83.68
Male,50,Clothing,Cash,4801.28
Female,23,Cosmetics,Cash,365.94
Male,26,Cosmetics,Card,1016.5
Female,34,Toys,Cash,573.44
Female,29,Clothing,Cash,1200.32
Female,54,Cosmetics,Card,365.94
Male,40,Clothing,Card,4801.28
Male,40,Cosmetics,Cash,1016.5
Male,21,Books,Cash,242.4
Male,47,Clothing,Card,2700.7200000000003
Female,41,Souvenir,Cash,105.57
Male,33,Cosmetics,Cash,1016.5
Female,67,Souvenir,Card,46.92
Male,37,Cosmetics,Cash,365.94
Female,38,Toys,Cash,35.84
Male,28,Shoes,Card,15004.25
Female,56,Cosmetics,Card,40.66
Male,25,Books,Card,136.35000000000002
Male,66,Books,Cash,378.75
Female,37,Souvenir,Card,46.92
Female,19,Food & Beverage,Cash,20.92
Female,53,Clothing,Cash,7502.0
Female,69,Shoes,Cash,600.17
Male,69,Clothing,Cash,7502.0
Female,31,Food & Beverage,Card,20.92
Male,39,Books,Cash,378.75
Male,53,Shoes,Cash,15004.25
Male,26,Cosmetics,Cash,162.64
Male,63,Food & Beverage,Cash,47.07
Male,25,Food & Beverage,Card,5.23
Female,20,Shoes,Cash,5401.53
Male,53,Cosmetics,Card,650.56
Male,46,Cosmetics,Cash,650.56
Female,34,Clothing,Card,300.08
Female,61,Clothing,Cash,2700.7200000000003
Female,38,Clothing,Card,7502.0
Female,67,Food & Beverage,Cash,47.07
Male,33,Toys,Card,573.44
Female,63,Clothing,Card,4801.28
Female,41,Cosmetics,Card,650.56
Male,27,Technology,Card,1050.0
Female,54,Clothing,Card,4801.28
Female,51,Toys,Cash,35.84
Female,29,Clothing,Card,300.08
Female,44,Shoes,Card,2400.68
Female,20,Shoes,Card,5401.53
Female,23,Clothing,Card,4801.28
Male,63,Shoes,Cash,600.17
Male,21,Clothing,Card,7502.0
Female,56,Clothing,Card,2700.7200000000003
Male,39,Cosmetics,Card,162.64
Male,50,Food & Beverage,Card,20.92
Female,54,Shoes,Card,9602.72
Male,27,Technology,Card,9450.0
Male,56,Clothing,Card,7502.0
Female,53,Clothing,Cash,4801.28
Female,62,Cosmetics,Card,365.94
Female,68,Toys,Card,143.36
Male,27,Clothing,Cash,4801.28
Male,39,Cosmetics,Cash,650.56
Male,44,Toys,Card,322.56
Female,52,Clothing,Card,2700.7200000000003
Female,68,Cosmetics,Card,365.94
Male,22,Books,Cash,378.75
Male,61,Shoes,Cash,600.17
Male,23,Food & Beverage,Card,47.07
Male,34,Cosmetics,Card,1016.5
Female,33,Souvenir,Card,46.92
Female,60,Shoes,Card,600.17
Female,24,Food & Beverage,Card,5.23
Male,53,Cosmetics,Card,1016.5
Male,22,Clothing,Card,2700.7200000000003
Male,50,Souvenir,Cash,187.68
Male,49,Clothing,Card,1200.32
Male,31,Clothing,Card,300.08
Male,29,Food & Beverage,Cash,130.75
Female,67,Cosmetics,Cash,162.64
Female,50,Food & Beverage,Cash,20.92
Female,68,Technology,Card,4200.0
Female,59,Souvenir,Card,46.92
Female,66,Clothing,Cash,7502.0
Male,69,Souvenir,Cash,187.68
Male,27,Food & Beverage,Cash,130.75
Female,52,Toys,Card,35.84
Female,27,Clothing,Cash,1200.32
Female,43,Technology,Card,4200.0
Male,36,Clothing,Cash,300.08
Male,21,Books,Cash,378.75
Male,20,Clothing,Cash,300.08
Female,23,Toys,Card,143.36
Female,52,Cosmetics,Cash,162.64
Male,24,Clothing,Card,4801.28
Male,58,Toys,Card,322.56
Male,21,Clothing,Card,4801.28
Male,35,Shoes,Cash,2400.68
Female,29,Cosmetics,Cash,365.94
Male,68,Cosmetics,Card,162.64
Female,50,Cosmetics,Card,365.94
Female,39,Toys,Card,35.84
Male,27,Clothing,Cash,300.08
Female,65,Food & Beverage,Cash,5.23
Female,53,Cosmetics,Cash,162.64
Female,19,Food & Beverage,Card,47.07
Female,31,Food & Beverage,Card,5.23
Female,43,Toys,Cash,143.36
Male,42,Clothing,Card,2700.7200000000003
Male,58,Books,Card,242.4
Male,27,Souvenir,Card,187.68
Female,28,Food & Beverage,Card,20.92
Male,55,Cosmetics,Card,365.94
Male,39,Toys,Card,322.56
Male,44,Clothing,Card,7502.0
Female,35,Cosmetics,Card,1016.5
Male,48,Cosmetics,Card,1016.5
Male,45,Clothing,Card,7502.0
Male,64,Clothing,Card,4801.28
Male,38,Souvenir,Card,293.25
Female,45,Shoes,Cash,2400.68
Female,41,Souvenir,Cash,293.25
Male,57,Food & Beverage,Card,83.68
Female,44,Food & Beverage,Card,20.92
Male,38,Cosmetics,Cash,1016.5
Male,65,Food & Beverage,Card,47.07
Male,30,Clothing,Card,300.08
Female,50,Clothing,Card,1200.32
Male,26,Shoes,Card,600.17
